"","Taxa","sp","GEO3","ISO3","lon","lat","sol","sol_Hi","sol_Lo","sol_Mo","sol_VL","tot","lab","org","occ","sec","apa","stp10","stp100","stp20","stp30","PBR1","PBR2","PHO1","PHO2","PMEH1","PMEH2","PNZ1","PNZ2","POL1","POL2","TP1","TP2","NPlim","ext_P20"
"1","SEEDGWAS10:MRG:4:250054453","Zea mays","Meso-America","MEX",-96.87067,19.938631,8,0,0,100,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,794.583374023438,717.886108398438,795.179992675781,761.795593261719,289,28,200,NA,719,230,4727,5387,650,199,700,600,NA,NA
"2","SEEDGWAS1000:MRG:4:250067677","Zea mays","Meso-America","MEX",-99.634229,21.83299,9,0,30,70,0,321.88916015625,39.7714767456055,130.869049072266,73.3134765625,23.0836601257324,54.8514785766602,1138.53674316406,981.948181152344,1075.21154785156,999.770812988281,1731,NA,NA,NA,NA,NA,3072,4551,NA,NA,NA,NA,-0.479059994220734,NA
"3","SEEDGWAS1001:MRG:4:250067678","Zea mays","Meso-America","MEX",-99.653771,22.023366,9,0,30,70,0,297.140411376953,15.6047353744507,55.663459777832,130.878677368164,13.0387334823608,81.9548187255859,1196.09399414062,1057.59973144531,1163.314453125,1074.67309570312,1817,181,2900,800,2521,306,2258,2507,766,129,500,400,-0.461640000343323,NA
"4","SEEDGWAS1003:MRG:4:250067679","Zea mays","Meso-America","MEX",-89.732539,20.485433,8,0,0,100,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,907.798583984375,800.458557128906,843.005554199219,817.252258300781,533,14,NA,NA,1217,327,4256,4311,634,NA,600,600,NA,NA
"5","SEEDGWAS1004:MRG:4:250067680","Zea mays","Meso-America","MEX",-97.382255,20.969048,9,0,30,70,0,272.378723144531,14.7784519195557,33.163631439209,128.60920715332,16.709020614624,79.1183776855469,514.703247070312,456.280578613281,481.724822998047,470.720886230469,797,65,NA,NA,1293,538,2822,2659,906,NA,600,400,NA,NA
"6","SEEDGWAS1006:MRG:4:250067682","Zea mays","South America","PRY",-57.309104,-23.267981,9,10,0,70,20,532.376647949219,45.5482559204102,25.6855068206787,91.970458984375,30.4540405273438,338.718353271484,279.608093261719,254.855712890625,268.261993408203,270.28271484375,1041,397,NA,NA,NA,NA,2902,3359,NA,NA,400,300,NA,NA
"7","SEEDGWAS1007:MRG:4:250067684","Zea mays","South America","VEN",-62.46666667,8.433333333,9,10,20,50,20,545.81201171875,58.8752288818359,83.1131286621094,117.754028320312,28.8031044006348,257.266479492188,366.094299316406,333.712219238281,341.283416748047,339.982330322266,2016,379,400,25,1983,172,3792,3786,NA,NA,700,400,NA,NA
"8","SEEDGWAS1008:MRG:4:250067716","Zea mays","South America","COL",-74.91666667,3.85,8,0,0,100,0,321.88916015625,39.7714767456055,130.869049072266,73.3134765625,23.0836601257324,54.8514785766602,1057.34460449219,892.70166015625,982.858825683594,913.898742675781,2324,166,3200,1200,2976,288,1741,2028,871,153,500,400,-0.374489992856979,NA
"9","SEEDGWAS1009:MRG:4:250067717","Zea mays","Meso-America","MEX",-88.05,19.58333333,8,0,0,100,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,947.126770019531,843.870422363281,889.915649414062,859.645629882812,568,90,200,NA,294,18,4520,5590,523,178,700,500,NA,NA
"10","SEEDGWAS101:MRG:4:250054517","Zea mays","Meso-America","MEX",-97.382222,20.43027778,9,0,50,50,0,867.736206054688,47.0807609558105,105.651748657227,409.719512939453,53.2311134338379,252.05305480957,812.567199707031,800.321472167969,795.036071777344,816.016723632812,346,105,44,100,888,195,3922,4517,560,82,700,400,NA,NA
"11","SEEDGWAS1011:MRG:4:250067718","Zea mays","Meso-America","MEX",-92.564373,16.332904,8,0,20,80,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,946.222778320312,846.053527832031,887.623474121094,852.964782714844,533,50,700,NA,1317,269,4043,3907,532,186,500,600,NA,NA
"12","SEEDGWAS1012:MRG:4:250067719","Zea mays","Meso-America","MEX",-92.564373,16.332904,8,0,20,80,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,946.222778320312,846.053527832031,887.623474121094,852.964782714844,533,50,700,NA,1317,269,4043,3907,532,186,500,600,NA,NA
"13","SEEDGWAS1014:MRG:4:250067720","Zea mays","Meso-America","MEX",-98.38333333,21.51666667,9,0,30,70,0,272.378723144531,14.7784519195557,33.163631439209,128.60920715332,16.709020614624,79.1183776855469,710.531982421875,632.690124511719,684.095703125,661.101684570312,813,154,NA,NA,1378,436,3460,3650,738,NA,600,400,NA,NA
"14","SEEDGWAS1015:MRG:4:250067721","Zea mays","Meso-America","MEX",-99.537659,17.167363,8,0,20,80,0,363.889343261719,26.375732421875,90.2520370483398,137.37239074707,41.3856506347656,68.5034942626953,998.283630371094,859.990112304688,948.962524414062,888.956848144531,774,52,NA,NA,1377,513,2933,2722,839,NA,600,500,NA,NA
"15","SEEDGWAS1019:MRG:4:250067723","Zea mays","Meso-America","MEX",-98.746577,21.296297,9,0,33,67,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,1044.40673828125,916.488098144531,999.054321289062,938.547241210938,580,NA,NA,NA,NA,NA,3820,4326,NA,NA,NA,NA,NA,NA
"16","SEEDGWAS1020:MRG:4:250067724","Zea mays","Meso-America","MEX",-92.81666667,16.56666667,8,0,0,100,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,743.417907714844,549.074279785156,659.495361328125,583.000244140625,959,145,NA,NA,1684,283,3168,3508,653,NA,600,400,NA,NA
"17","SEEDGWAS1022:MRG:4:250067725","Zea mays","Meso-America","MEX",-93,16.71666667,8,0,0,100,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,743.417907714844,549.074279785156,659.495361328125,583.000244140625,959,145,NA,NA,1684,283,3168,3508,653,NA,600,400,NA,NA
"18","SEEDGWAS1023:MRG:4:250067726","Zea mays","Meso-America","MEX",-93.26666667,16.25,8,0,0,90,10,485.166290283203,59.9454154968262,197.251907348633,110.50146484375,34.7927627563477,82.674690246582,546.234375,494.975006103516,517.322631835938,513.314208984375,391,198,NA,NA,NA,NA,3616,4925,NA,NA,700,400,NA,NA
"19","SEEDGWAS1024:MRG:4:250067727","Zea mays","Meso-America","MEX",-93.26666667,16.2,8,0,0,90,10,485.166290283203,59.9454154968262,197.251907348633,110.50146484375,34.7927627563477,82.674690246582,546.234375,494.975006103516,517.322631835938,513.314208984375,391,198,NA,NA,NA,NA,3616,4925,NA,NA,700,400,NA,NA
"20","SEEDGWAS1025:MRG:4:250067728","Zea mays","Meso-America","MEX",-92.81666667,16.56666667,8,0,0,100,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,743.417907714844,549.074279785156,659.495361328125,583.000244140625,959,145,NA,NA,1684,283,3168,3508,653,NA,600,400,NA,NA
"21","SEEDGWAS1026:MRG:4:250067729","Zea mays","South America","ARG",-62.7,-35.96666667,12,0,100,0,0,184.489364624023,9.68871212005615,34.5604820251465,81.2603149414062,8.09552383422852,50.884334564209,576.138916015625,506.226837158203,554.018981933594,527.982482910156,3410,572,NA,NA,1665,291,1390,1242,526,92,600,400,NA,NA
"22","SEEDGWAS1027:MRG:4:250067730","Zea mays","South America","ARG",-59.85,-27.01666667,9,0,50,50,0,184.489364624023,9.68871212005615,34.5604820251465,81.2603149414062,8.09552383422852,50.884334564209,379.421844482422,315.396392822266,329.660675048828,323.918182373047,1902,484,NA,NA,NA,NA,2273,2492,NA,NA,400,300,-0.235789999365807,NA
"23","SEEDGWAS1029:MRG:4:250067732","Zea mays","Meso-America","MEX",-93.71666667,16.7,8,0,0,100,0,485.166290283203,59.9454154968262,197.251907348633,110.50146484375,34.7927627563477,82.674690246582,900.76123046875,797.663513183594,854.2333984375,815.941101074219,707,NA,NA,NA,NA,NA,3518,4802,NA,NA,NA,NA,NA,NA
"24","SEEDGWAS1030:MRG:4:250067733","Zea mays","Meso-America","MEX",-97.63333333,21.06666667,9,0,50,50,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,678.298950195312,654.927917480469,674.550354003906,676.256164550781,346,105,44,100,888,195,3922,4517,560,82,700,400,NA,NA
"25","SEEDGWAS1031:MRG:4:250067734","Zea mays","Meso-America","MEX",-93.71666667,16.7,8,0,0,100,0,485.166290283203,59.9454154968262,197.251907348633,110.50146484375,34.7927627563477,82.674690246582,900.76123046875,797.663513183594,854.2333984375,815.941101074219,707,NA,NA,NA,NA,NA,3518,4802,NA,NA,NA,NA,NA,NA
"26","SEEDGWAS1032:MRG:4:250067735","Zea mays","Meso-America","MEX",-88.05,19.58333333,8,0,0,100,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,947.126770019531,843.870422363281,889.915649414062,859.645629882812,568,90,200,NA,294,18,4520,5590,523,178,700,500,NA,NA
"27","SEEDGWAS1033:MRG:4:250067736","Zea mays","Meso-America","MEX",-101.728267,18.317643,11,0,70,30,0,363.889343261719,19.7435436248779,44.3055648803711,171.817855834961,22.3227214813232,105.699653625488,1093.09057617188,945.5478515625,1038.08251953125,967.328796386719,820,95,800,NA,1141,208,3455,3429,529,181,500,500,-0.218349993228912,NA
"28","SEEDGWAS1034:MRG:4:250067737","Zea mays","Meso-America","MEX",-96.96666667,19.38333333,8,0,0,80,20,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,443.242828369141,371.043823242188,404.0419921875,387.103912353516,182,59,NA,NA,NA,NA,7042,8927,NA,NA,1100,1000,-0.249960005283356,NA
"29","SEEDGWAS1035:MRG:4:250067738","Zea mays","Meso-America","MEX",-98.43333333,22.81666667,9,0,30,70,0,272.378723144531,14.7784519195557,33.163631439209,128.60920715332,16.709020614624,79.1183776855469,683.670532226562,608.590759277344,648.406616210938,629.177551269531,813,154,NA,NA,1378,436,3460,3650,738,NA,600,400,NA,NA
"30","SEEDGWAS1036:MRG:4:250067739","Zea mays","Meso-America","MEX",-93.21666667,17.1,9,20,30,50,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,442.802978515625,348.487213134766,380.767333984375,368.57421875,310,75,300,200,1085,114,4182,5249,554,NA,700,500,NA,NA
"31","SEEDGWAS1037:MRG:4:250067740","Zea mays","Meso-America","MEX",-101.799996,17.971798,11,0,70,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820,95,800,NA,1141,208,3455,3429,529,181,500,500,-0.280609995126724,NA
"32","SEEDGWAS1039:MRG:4:250067741","Zea mays","South America","ARG",-54.13,-26.63,1,0,0,0,100,867.736206054688,74.2404327392578,41.8655586242676,149.905334472656,49.6379318237305,552.086975097656,525.436279296875,477.370239257812,503.931610107422,492.04736328125,73,0,NA,200,NA,NA,5304,5847,NA,NA,400,100,-0.55019998550415,NA
"33","SEEDGWAS104:MRG:4:250054519","Zea mays","Meso-America","MEX",-89.82814,19.744273,8,0,0,100,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,897.751708984375,782.043151855469,830.46240234375,795.891357421875,533,14,NA,NA,1217,327,4256,4311,634,NA,600,600,-0.359820008277893,NA
"34","SEEDGWAS1040:MRG:4:250067742","Zea mays","South America","ARG",-58.240208,-26.142484,9,0,40,60,0,184.489364624023,15.7842540740967,8.90103435516357,31.8713665008545,10.5535182952881,117.379188537598,358.092834472656,302.152679443359,313.429718017578,314.282073974609,1701,441,NA,NA,NA,NA,2706,2626,NA,NA,500,400,-0.501850008964539,NA
"35","SEEDGWAS1041:MRG:4:250067743","Zea mays","South America","ARG",-58.75,-25.3,9,0,40,60,0,184.489364624023,15.7842540740967,8.90103435516357,31.8713665008545,10.5535182952881,117.379188537598,375.534881591797,319.863800048828,326.526916503906,335.963775634766,1701,441,NA,NA,NA,NA,2706,2626,NA,NA,500,400,-0.25916001200676,NA
"36","SEEDGWAS1042:MRG:4:250067744","Zea mays","South America","ARG",-61.333411,-24.164012,8,0,0,100,0,184.489364624023,15.7842540740967,8.90103435516357,31.8713665008545,10.5535182952881,117.379188537598,573.95458984375,527.700622558594,548.63623046875,544.377563476562,2563,490,2900,800,2257,441,1430,1775,830,113,500,400,-0.231930002570152,NA
"37","SEEDGWAS1043:MRG:4:250067745","Zea mays","Meso-America","MEX",-92.08,16.9,6,40,20,40,0,189.75,13.1082925796509,49.7512664794922,95.3201599121094,25.3454780578613,6.22480916976929,748.278076171875,574.6083984375,690.445251464844,630.9384765625,732,119,700,0,1670,99,3082,3977,NA,NA,500,300,NA,NA
"38","SEEDGWAS1044:MRG:4:250067746","Zea mays","Meso-America","MEX",-92.08,16.9,6,40,20,40,0,189.75,13.1082925796509,49.7512664794922,95.3201599121094,25.3454780578613,6.22480916976929,748.278076171875,574.6083984375,690.445251464844,630.9384765625,732,119,700,0,1670,99,3082,3977,NA,NA,500,300,NA,NA
"39","SEEDGWAS1045:MRG:4:250067747","Zea mays","Meso-America","MEX",-98.277964,21.038899,9,0,33,67,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,1027.11694335938,916.958435058594,996.409790039062,942.549194335938,580,NA,NA,NA,NA,NA,3820,4326,NA,NA,NA,NA,NA,NA
"40","SEEDGWAS1048:MRG:4:250067748","Zea mays","Meso-America","MEX",-98.222282,21.10534,9,0,33,67,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,1027.11694335938,916.958435058594,996.409790039062,942.549194335938,580,NA,NA,NA,NA,NA,3820,4326,NA,NA,NA,NA,NA,NA
"41","SEEDGWAS1049:MRG:4:250067749","Zea mays","Meso-America","MEX",-98.222282,21.10534,9,0,33,67,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,1027.11694335938,916.958435058594,996.409790039062,942.549194335938,580,NA,NA,NA,NA,NA,3820,4326,NA,NA,NA,NA,NA,NA
"42","SEEDGWAS105:MRG:4:250054520","Zea mays","Meso-America","MEX",-90.102679,20.601679,8,0,0,100,0,1323.80529785156,142.795227050781,201.581481933594,285.599090576172,69.8586807250977,623.970825195312,1342.10876464844,1223.39904785156,1331.74389648438,1241.19543457031,568,90,200,NA,294,18,4520,5590,523,178,700,500,NA,NA
"43","SEEDGWAS1050:MRG:4:250067750","Zea mays","Meso-America","MEX",-98.296549,21.029685,9,0,33,67,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,1027.11694335938,916.958435058594,996.409790039062,942.549194335938,580,NA,NA,NA,NA,NA,3820,4326,NA,NA,NA,NA,NA,NA
"44","SEEDGWAS1051:MRG:4:250067752","Zea mays","Meso-America","MEX",-98.296549,21.029685,9,0,33,67,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,1027.11694335938,916.958435058594,996.409790039062,942.549194335938,580,NA,NA,NA,NA,NA,3820,4326,NA,NA,NA,NA,NA,NA
"45","SEEDGWAS106:MRG:4:250054521","Zea mays","Meso-America","GTM",-88.760766,15.827325,9,20,25,50,5,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,470.817230224609,386.850280761719,416.541900634766,406.548522949219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.377090007066727,NA
"46","SEEDGWAS107:MRG:4:250054522","Zea mays","Meso-America","GTM",-90.193023,16.681491,9,0,50,50,0,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,414.741241455078,376.221374511719,393.970520019531,399.687713623047,702,NA,NA,NA,NA,NA,4212,5162,NA,NA,NA,NA,NA,NA
"47","SEEDGWAS1085:MRG:4:250067782","Zea mays","Meso-America","MEX",-102.8,20.55,9,0,0,60,40,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,637.892028808594,531.06640625,588.613891601562,558.676940917969,1111,154,NA,NA,NA,NA,3932,4923,NA,NA,700,500,NA,NA
"48","SEEDGWAS1087:MRG:4:250067785","Zea mays","Meso-America","MEX",-100.21527,22.031961,9,0,30,70,0,297.140411376953,25.4222793579102,14.3360939025879,51.3323440551758,16.9976043701172,189.05207824707,1278.77185058594,1075.17834472656,1193.14819335938,1098.17602539062,1938,66,NA,NA,NA,NA,1939,2130,NA,NA,500,400,-0.459340006113052,NA
"49","SEEDGWAS1088:MRG:4:250067786","Zea mays","Meso-America","MEX",-99.816363,22.05427,8,0,0,100,0,297.140411376953,15.6047353744507,55.663459777832,130.878677368164,13.0387334823608,81.9548187255859,1196.09399414062,1057.59973144531,1163.314453125,1074.67309570312,1703,NA,NA,NA,NA,NA,2876,3342,NA,NA,NA,NA,-0.47010999917984,NA
"50","SEEDGWAS1091:MRG:4:250067789","Zea mays","Meso-America","MEX",-100.9672228,25.552339,8,0,0,100,0,272.378723144531,14.3043403625488,51.0248336791992,119.972106933594,11.9521713256836,75.1252517700195,1132.68408203125,950.007690429688,1060.25207519531,968.667114257812,1703,NA,NA,NA,NA,NA,2876,3342,NA,NA,NA,NA,-0.285930007696152,NA
"51","SEEDGWAS1095:MRG:4:250067792","Zea mays","Meso-America","MEX",-99.45,18.75,9,0,40,60,0,NA,NA,NA,NA,NA,NA,559.397155761719,428.531616210938,483.850646972656,449.273864746094,1544,216,NA,NA,1977,534,2546,2596,866,NA,600,400,NA,NA
"52","SEEDGWAS1096:MRG:4:250067793","Zea mays","Meso-America","MEX",-99.3,18.68,9,0,40,60,0,NA,NA,NA,NA,NA,NA,559.397155761719,428.531616210938,483.850646972656,449.273864746094,1544,216,NA,NA,1977,534,2546,2596,866,NA,600,400,-0.312970012426376,NA
"53","SEEDGWAS1097:MRG:4:250067794","Zea mays","Meso-America","MEX",-105.2977778,27.15888889,8,0,0,100,0,297.140411376953,25.4222793579102,14.3360939025879,51.3323440551758,16.9976043701172,189.05207824707,831.92236328125,678.075866699219,821.679748535156,712.257446289062,2050,281,NA,NA,3507,559,1800,1733,1089,NA,600,500,-0.295190006494522,NA
"54","SEEDGWAS1099:MRG:4:250067796","Zea mays","South America","BRA",-49,-15,8,0,0,80,20,545.81201171875,67.4385833740234,221.90837097168,124.314140319824,39.1418571472168,93.0090255737305,343.235473632812,294.511199951172,311.069366455078,302.890197753906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.208489999175072,NA
"55","SEEDGWAS1100:MRG:4:250067797","Zea mays","Meso-America","CRI",-83.99449,9.954306,9,0,0,70,30,134.863632202148,9.31663703918457,35.3604011535645,67.7482070922852,18.0141410827637,4.42424392700195,823.560668945312,727.891296386719,743.724792480469,735.955200195312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","SEEDGWAS1101:MRG:4:250067798","Zea mays","Meso-America","CRI",-83.665901,9.358024,5,60,20,10,10,NA,NA,NA,NA,NA,NA,592.815185546875,536.003540039062,583.258117675781,563.623596191406,715,93,1000,0,2060,78,2884,4096,NA,NA,500,300,NA,NA
"57","SEEDGWAS1102:MRG:4:250067799","Zea mays","Meso-America","CRI",-82.907759,8.820336,2,0,10,30,60,206.999984741211,14.299955368042,54.2741050720215,103.985618591309,27.6496086120605,6.79070043563843,544.606323242188,486.572174072266,546.384765625,513.4169921875,517,28,800,NA,1381,349,3961,3624,615,210,500,600,NA,NA
"58","SEEDGWAS1103:MRG:4:250067800","Zea mays","Meso-America","CRI",-83.402533,9.21809,5,60,20,10,10,134.863632202148,9.31663703918457,35.3604011535645,67.7482070922852,18.0141410827637,4.42424392700195,623.8876953125,596.689575195312,619.324584960938,606.735717773438,715,93,1000,0,2060,78,2884,4096,NA,NA,500,300,NA,NA
"59","SEEDGWAS1104:MRG:4:250067802","Zea mays","Meso-America","CRI",-82.776594,8.884242,5,70,0,10,20,206.999984741211,14.299955368042,54.2741050720215,103.985618591309,27.6496086120605,6.79070043563843,544.606323242188,486.572174072266,546.384765625,513.4169921875,254,37,NA,57,NA,NA,4742,6045,NA,NA,500,300,-0.290010005235672,NA
"60","SEEDGWAS1105:MRG:4:250067803","Zea mays","Meso-America","HND",-87.105301,14.100414,9,10,30,60,0,940.009643554688,116.144233703613,382.175598144531,214.096572875977,67.4109725952148,160.182220458984,502.135162353516,399.038055419922,428.948181152344,412.913818359375,510,135,100,0,1265,154,3191,3652,475,43,600,300,-0.169679999351501,NA
"61","SEEDGWAS1106:MRG:4:250067804","Zea mays","Meso-America","GTM",-90.859965,15.344145,8,0,0,80,20,272.378723144531,19.7427825927734,67.5555267333984,102.82608795166,30.9780158996582,51.2762870788574,534.129089355469,424.888763427734,498.639739990234,458.874786376953,762,88,800,NA,1457,174,3333,3671,531,186,500,400,-0.265799999237061,NA
"62","SEEDGWAS1107:MRG:4:250067805","Zea mays","Meso-America","MEX",-97.28339,16.233634,9,0,50,50,0,485.166290283203,59.9454154968262,197.251907348633,110.50146484375,34.7927627563477,82.674690246582,768.188415527344,671.26123046875,713.546203613281,694.642944335938,771,125,300,NA,1096,281,2875,3086,633,85,600,400,-0.179030001163483,NA
"63","SEEDGWAS1108:MRG:4:250067806","Zea mays","Meso-America","MEX",-97.096379,16.35071,6,40,20,40,0,485.166290283203,59.9454154968262,197.251907348633,110.50146484375,34.7927627563477,82.674690246582,768.188415527344,671.26123046875,713.546203613281,694.642944335938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.264429986476898,NA
"64","SEEDGWAS1109:MRG:4:250067807","Zea mays","Meso-America","MEX",-97.28339,16.233634,9,0,50,50,0,485.166290283203,59.9454154968262,197.251907348633,110.50146484375,34.7927627563477,82.674690246582,768.188415527344,671.26123046875,713.546203613281,694.642944335938,771,125,300,NA,1096,281,2875,3086,633,85,600,400,-0.179030001163483,NA
"65","SEEDGWAS1110:MRG:4:250067808","Zea mays","Meso-America","MEX",-104.088629,21.696608,9,0,0,60,40,NA,NA,NA,NA,NA,NA,780.839599609375,850.026306152344,882.347900390625,867.919860839844,2015,639,NA,NA,NA,NA,2827,4277,NA,NA,500,800,-0.27853000164032,NA
"66","SEEDGWAS1111:MRG:4:250067809","Zea mays","Meso-America","GTM",-91.4,14.616667,2,10,0,20,70,NA,NA,NA,NA,NA,NA,1168.44506835938,1103.30444335938,1211.06188964844,1124.36547851562,510,94,NA,NA,NA,NA,6326,8000,NA,NA,1000,900,-0.345079988241196,NA
"67","SEEDGWAS1114:MRG:4:250067811","Zea mays","South America","VEN",-71.058506,9.157008,9,40,0,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","SEEDGWAS1115:MRG:4:250070129","Zea mays","South America","VEN",-72.008076,7.917181,9,33,0,67,0,321.88916015625,34.7212944030762,49.015438079834,69.4446868896484,16.9864482879639,151.721282958984,1053.13488769531,914.842468261719,1018.62353515625,942.381713867188,412,150,61,0,1069,167,3433,3839,475,43,700,400,-0.176789999008179,NA
"69","SEEDGWAS1118:MRG:4:250070132","Zea mays","Meso-America","GTM",-92.138837,14.663195,8,0,0,80,20,NA,NA,NA,NA,NA,NA,709.796997070312,816.366149902344,837.624328613281,831.346740722656,898,205,NA,NA,1215,520,3763,4006,767,NA,700,600,NA,NA
"70","SEEDGWAS112:MRG:4:250054525","Zea mays","Meso-America","MEX",-111.113435,30.544226,8,0,5,95,0,297.140411376953,15.6047353744507,55.663459777832,130.878677368164,13.0387334823608,81.9548187255859,963.768249511719,892.157348632812,931.390014648438,910.55615234375,2251,183,2800,1600,2499,274,1956,2272,866,184,500,300,-0.367839992046356,NA
"71","SEEDGWAS1120:MRG:4:250070133","Zea mays","Meso-America","MEX",-102.7166667,19.96666667,9,0,0,60,40,NA,NA,NA,NA,NA,NA,900.79833984375,945.529174804688,1058.60485839844,976.455200195312,2015,639,NA,NA,NA,NA,2827,4277,NA,NA,500,800,-0.212029993534088,NA
"72","SEEDGWAS1121:MRG:4:250070134","Zea mays","Meso-America","MEX",-97.03333333,19.08333333,11,0,60,10,30,NA,NA,NA,NA,NA,NA,951.560180664062,888.027893066406,918.742736816406,896.485778808594,1895,1284,NA,NA,NA,NA,3579,4609,NA,NA,600,600,NA,NA
"73","SEEDGWAS1122:MRG:4:250070135","Zea mays","Meso-America","MEX",-96.282141,18.390306,5,60,0,40,0,206.999984741211,14.299955368042,54.2741050720215,103.985618591309,27.6496086120605,6.79070043563843,389.656616210938,356.858856201172,373.718078613281,372.506744384766,908,117,1000,0,1756,75,2713,3757,NA,NA,500,300,NA,NA
"74","SEEDGWAS1124:MRG:4:250070137","Zea mays","South America","BOL",-62.994159,-17.82886,12,0,80,20,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,346.464294433594,302.993011474609,319.908325195312,314.959197998047,2451,1610,NA,NA,NA,NA,1890,2334,NA,NA,300,300,NA,NA
"75","SEEDGWAS1125:MRG:4:250070138","Zea mays","South America","BOL",-62.994159,-17.82886,12,0,80,20,0,69,4.28136968612671,14.010890007019,40.8995475769043,9.18370056152344,0.62448650598526,346.464294433594,302.993011474609,319.908325195312,314.959197998047,2451,1610,NA,NA,NA,NA,1890,2334,NA,NA,300,300,NA,NA
"76","SEEDGWAS1126:MRG:4:250070139","Zea mays","Meso-America","MEX",-99,19.01666667,2,0,30,20,50,NA,NA,NA,NA,NA,NA,644.589599609375,574.420166015625,600.763366699219,582.487365722656,556,86,NA,NA,NA,NA,5391,6587,NA,NA,900,800,-0.135949999094009,NA
"77","SEEDGWAS1128:MRG:4:250070140","Zea mays","Meso-America","MEX",-92.1,15.7,8,0,0,100,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,898.696838378906,797.62451171875,854.810180664062,816.603576660156,707,NA,NA,NA,NA,NA,3518,4802,NA,NA,NA,NA,NA,NA
"78","SEEDGWAS113:MRG:4:250054526","Zea mays","Meso-America","MEX",-90.61666667,19.78333333,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596,NA,NA,NA,NA,NA,4240,5650,NA,NA,NA,NA,-0.296999990940094,NA
"79","SEEDGWAS1130:MRG:4:250070141","Zea mays","Meso-America","MEX",-93.76666667,16.08333333,11,0,60,40,0,297.140411376953,21.5375823974609,73.6969299316406,112.17391204834,33.7941970825195,55.9377670288086,547.211853027344,442.486114501953,467.666809082031,451.163421630859,1300,463,NA,NA,NA,NA,2696,2713,NA,NA,500,300,NA,NA
"80","SEEDGWAS1131:MRG:4:250070142","Zea mays","Meso-America","MEX",-93.38333333,16.76666667,9,20,30,50,0,1323.80529785156,163.564651489258,538.213684082031,301.509887695312,94.9341430664062,225.582885742188,1086.40283203125,941.418640136719,1040.30676269531,962.985595703125,310,75,300,200,1085,114,4182,5249,554,NA,700,500,NA,NA
"81","SEEDGWAS1133:MRG:4:250070143","Zea mays","Meso-America","MEX",-104.5333333,25.2,8,0,0,100,0,867.736206054688,45.5703544616699,162.553466796875,382.203704833984,38.0768814086914,239.33186340332,666.749267578125,563.037475585938,626.768310546875,583.696594238281,2213,211,2900,800,2689,236,1807,2081,718,129,500,400,-0.301679998636246,NA
